id,name,type
202,108-46-3,COMPOUND
203,3391-86-4,COMPOUND
204,106-44-5,COMPOUND
205,2721-22-4,COMPOUND
206,101-48-4,COMPOUND
207,71159-90-5,COMPOUND
208,75-21-8,COMPOUND
209,1193-79-9,COMPOUND
210,91-62-3,COMPOUND
211,13360-64-0,COMPOUND
212,30390-50-2,COMPOUND
213,1079-01-2,COMPOUND
214,100-06-1,COMPOUND
215,65-85-0,COMPOUND
216,141-14-0,COMPOUND
217,623-30-3,COMPOUND
218,705-86-2,COMPOUND
219,25312-34-9,COMPOUND
220,3208-16-0,COMPOUND
221,101-39-3,COMPOUND
222,84642-61-5,COMPOUND
223,4536-23-6,COMPOUND
224,95-48-7,COMPOUND
225,576-26-1,COMPOUND
226,1653-30-1,COMPOUND
227,134-20-3,COMPOUND
228,2305-21-7,COMPOUND
229,57-10-3,COMPOUND
230,14173-25-2,COMPOUND
231,3149-28-8,COMPOUND
232,33467-74-2,COMPOUND
233,41519-23-7,COMPOUND
234,628-99-9,COMPOUND
235,66-25-1,COMPOUND
236,557-00-6,COMPOUND
237,4630-82-4,COMPOUND
238,80-56-8,COMPOUND
239,53833-30-0,COMPOUND
240,105-13-5,COMPOUND
241,706-14-9,COMPOUND
242,13678-67-6,COMPOUND
243,142-62-1,COMPOUND
244,7367-82-0,COMPOUND
245,6975-60-6,COMPOUND
246,5077-67-8,COMPOUND
247,4411-89-6,COMPOUND
248,97-99-4,COMPOUND
249,110-86-1,COMPOUND
250,107-75-5,COMPOUND
251,94-46-2,COMPOUND
252,110-74-7,COMPOUND
253,2396-83-0,COMPOUND
254,80-59-1,COMPOUND
255,101-86-0,COMPOUND
256,124-25-4,COMPOUND
257,89-86-1,COMPOUND
258,21188-58-9,COMPOUND
259,142-47-2,COMPOUND
260,6091-50-5,COMPOUND
261,3452-97-9,COMPOUND
262,713-95-1,COMPOUND
263,35854-86-5,COMPOUND
264,16630-52-7,COMPOUND
265,28069-74-1,COMPOUND
266,1119-44-4,COMPOUND
267,102-76-1,COMPOUND
268,2198-61-0,COMPOUND
269,3681-71-8,COMPOUND
270,5271-38-5,COMPOUND
271,4166-20-5,COMPOUND
272,1771490,COMPOUND
273,80-26-2,COMPOUND
274,589-38-8,COMPOUND
275,143-07-7,COMPOUND
276,6728-31-0,COMPOUND
277,95-87-4,COMPOUND
278,124-76-5,COMPOUND
279,591-24-2,COMPOUND
280,97-64-3,COMPOUND
281,91052-68-5,COMPOUND
282,121-33-5,COMPOUND
283,104-57-4,COMPOUND
284,23654-92-4,COMPOUND
285,3268-49-3,COMPOUND
286,53966-59-9,COMPOUND
287,13679-70-4,COMPOUND
288,71-36-3,COMPOUND
289,1565-81-7,COMPOUND
290,625-60-5,COMPOUND
291,645-13-6,COMPOUND
292,111-87-5,COMPOUND
293,13341-72-5,COMPOUND
294,764-39-6,COMPOUND
295,93-15-2,COMPOUND
296,13532-18-8,COMPOUND
297,536-50-5,COMPOUND
298,64-18-6,COMPOUND
299,112-05-0,COMPOUND
300,98-89-5,COMPOUND
301,106-32-1,COMPOUND
302,4077-47-8,COMPOUND
303,499-70-7,COMPOUND
304,1302615,COMPOUND
305,91-16-7,COMPOUND
306,122-63-4,COMPOUND
307,35158-25-9,COMPOUND
308,89-74-7,COMPOUND
309,69925-33-3,COMPOUND
310,140-39-6,COMPOUND
311,123-96-6,COMPOUND
312,27829-72-7,COMPOUND
313,1438-94-4,COMPOUND
314,98-54-4,COMPOUND
315,123-95-5,COMPOUND
316,554-12-1,COMPOUND
317,141-78-6,COMPOUND
318,60066-88-8,COMPOUND
319,13494-06-9,COMPOUND
320,2396-77-2,COMPOUND
321,2412-80-8,COMPOUND
322,67-64-1,COMPOUND
323,108-82-7,COMPOUND
324,100-66-3,COMPOUND
325,536-59-4,COMPOUND
326,121-98-2,COMPOUND
327,13851-11-1,COMPOUND
328,592-84-7,COMPOUND
329,7786-48-3,COMPOUND
330,505-79-3,COMPOUND
331,3792-53-8,COMPOUND
332,120-50-3,COMPOUND
333,110-19-0,COMPOUND
334,5320-75-2,COMPOUND
335,491-04-3,COMPOUND
336,100-68-5,COMPOUND
337,589-59-3,COMPOUND
338,98-00-0,COMPOUND
339,7778-87-2,COMPOUND
340,90-12-0,COMPOUND
341,698-10-2,COMPOUND
342,42822-86-6,COMPOUND
343,110-27-0,COMPOUND
344,23747-45-7,COMPOUND
345,104-61-0,COMPOUND
346,23696-85-7,COMPOUND
347,621-82-9,COMPOUND
348,5989-27-5,COMPOUND
349,88-84-6,COMPOUND
350,29548-14-9,COMPOUND
351,1786-08-9,COMPOUND
352,112-12-9,COMPOUND
353,13925-05-8,COMPOUND
354,97-89-2,COMPOUND
355,1207311,COMPOUND
356,230378,COMPOUND
357,79-31-2,COMPOUND
358,334-48-5,COMPOUND
359,539-88-8,COMPOUND
360,326-61-4,COMPOUND
361,586-62-9,COMPOUND
362,60-01-5,COMPOUND
363,13925-08-1,COMPOUND
364,21662-16-8,COMPOUND
365,14159-61-6,COMPOUND
366,1117-55-1,COMPOUND
367,2445-78-5,COMPOUND
368,5090-41-5,COMPOUND
369,646-07-1,COMPOUND
370,536-60-7,COMPOUND
371,59902-01-1,COMPOUND
372,91052-70-9,COMPOUND
373,78-98-8,COMPOUND
374,91-64-5,COMPOUND
375,140-11-4,COMPOUND
376,21722-83-8,COMPOUND
377,39251-88-2,COMPOUND
378,546-79-2,COMPOUND
379,551-08-6,COMPOUND
380,600-18-0,COMPOUND
381,2497-21-4,COMPOUND
382,56805-23-3,COMPOUND
383,3782-00-1,COMPOUND
384,116-53-0,COMPOUND
385,6790-58-5,COMPOUND
386,135-02-4,COMPOUND
387,53398-86-0,COMPOUND
388,870-23-5,COMPOUND
389,15679-13-7,COMPOUND
390,1629-58-9,COMPOUND
391,30361-28-5,COMPOUND
392,72869-75-1,COMPOUND
393,464-49-3,COMPOUND
394,17369-59-4,COMPOUND
395,106-33-2,COMPOUND
396,977043-63-2,COMPOUND
397,110-93-0,COMPOUND
398,108-29-2,COMPOUND
399,22014-48-8,COMPOUND
400,111-70-6,COMPOUND
401,6309-51-9,COMPOUND
402,93-60-7,COMPOUND
403,05/09/46,COMPOUND
404,4674-50-4,COMPOUND
405,123-76-2,COMPOUND
406,593-08-8,COMPOUND
407,122-67-8,COMPOUND
408,3581-91-7,COMPOUND
409,56-87-1,COMPOUND
410,25152-84-5,COMPOUND
411,91052-73-2,COMPOUND
412,3558-60-9,COMPOUND
413,557-48-2,COMPOUND
414,645-56-7,COMPOUND
415,127-41-3,COMPOUND
416,18138-03-9,COMPOUND
417,22094-00-4,COMPOUND
418,134-96-3,COMPOUND
419,64-17-5,COMPOUND
420,3025-30-7,COMPOUND
421,118-61-6,COMPOUND
422,123-63-7,COMPOUND
423,121-33-5,COMPOUND
424,3777-69-3,COMPOUND
425,1730647,COMPOUND
426,89-83-8,COMPOUND
427,109-97-7,COMPOUND
428,122-84-9,COMPOUND
429,107-03-9,COMPOUND
430,24683-00-9,COMPOUND
431,99999-08-0,COMPOUND
432,3293-47-8,COMPOUND
433,89-79-2,COMPOUND
434,115-95-7,COMPOUND
435,36653-82-4,COMPOUND
436,112-32-3,COMPOUND
437,.,COMPOUND
438,19317-11-4,COMPOUND
439,6378-65-0,COMPOUND
440,582-24-1,COMPOUND
441,105-90-8,COMPOUND
442,7212-44-4,COMPOUND
443,60415-61-4,COMPOUND
444,637-78-5,COMPOUND
445,123-15-9,COMPOUND
446,5287-45-6,COMPOUND
447,4253-89-8,COMPOUND
448,2021-28-5,COMPOUND
449,39026-94-3,COMPOUND
450,1298317,COMPOUND
451,258823-39-1,COMPOUND
452,7585-39-9,COMPOUND
453,112-06-1,COMPOUND
454,122-74-7,COMPOUND
455,404-86-4,COMPOUND
456,1731-84-6,COMPOUND
457,3289-28-9,COMPOUND
458,93-28-7,COMPOUND
459,2216-52-6,COMPOUND
460,97-61-0,COMPOUND
461,562-74-3,COMPOUND
462,93-55-0,COMPOUND
463,2315-68-6,COMPOUND
464,1193-18-6,COMPOUND
465,50-69-1,COMPOUND
466,108-39-4,COMPOUND
467,77-92-9,COMPOUND
468,112-17-4,COMPOUND
469,91052-71-0,COMPOUND
470,13184-86-6,COMPOUND
471,101-97-3,COMPOUND
472,629-19-6,COMPOUND
473,547-63-7,COMPOUND
474,20777-49-5,COMPOUND
475,130638,COMPOUND
476,502-61-4,COMPOUND
477,43219-68-7,COMPOUND
478,37617-03-1,COMPOUND
479,108-94-1,COMPOUND
480,54644-28-9,COMPOUND
481,4175-66-0,COMPOUND
482,96-48-0,COMPOUND
483,122-91-8,COMPOUND
484,19089-92-0,COMPOUND
485,138-22-7,COMPOUND
486,7786-44-9,COMPOUND
487,18138-04-0,COMPOUND
488,79-69-6,COMPOUND
489,2084-18-6,COMPOUND
490,2148878,COMPOUND
491,104-21-2,COMPOUND
492,19872-52-7,COMPOUND
493,41239-48-9,COMPOUND
494,96-26-4,COMPOUND
495,38917-63-4,COMPOUND
496,16409-46-4,COMPOUND
497,51755-85-2,COMPOUND
498,110-38-3,COMPOUND
499,122-59-8,COMPOUND
500,85960-81-2,COMPOUND
501,45019-28-1,COMPOUND
502,2349-13-5,COMPOUND
503,120-14-9,COMPOUND
504,138-87-4,COMPOUND
505,105-37-3,COMPOUND
506,5837-78-5,COMPOUND
507,109-79-5,COMPOUND
508,2065419,COMPOUND
509,927-49-1,COMPOUND
510,622-39-9,COMPOUND
511,150-84-5,COMPOUND
512,123-29-5,COMPOUND
513,111-31-9,COMPOUND
514,494-90-6,COMPOUND
515,6126-50-7,COMPOUND
516,49576-57-0,COMPOUND
517,4748-78-1,COMPOUND
518,94-62-2,COMPOUND
519,93-58-3,COMPOUND
520,828-26-2,COMPOUND
521,17283-81-7,COMPOUND
522,1365-19-1,COMPOUND
523,50746-10-6,COMPOUND
524,124-07-2,COMPOUND
525,27625-35-0,COMPOUND
526,150-30-1,COMPOUND
527,15679-12-6,COMPOUND
528,4437-20-1,COMPOUND
529,352-93-2,COMPOUND
530,53053-51-3,COMPOUND
531,109-73-9,COMPOUND
532,4493-42-9,COMPOUND
533,693-95-8,COMPOUND
534,540-07-8,COMPOUND
535,141-15-1,COMPOUND
536,10032-15-2,COMPOUND
537,227456-33-9,COMPOUND
538,103-52-6,COMPOUND
539,227456-28-2,COMPOUND
540,89-82-7,COMPOUND
541,14901-07-6,COMPOUND
542,539-30-0,COMPOUND
543,104-54-1,COMPOUND
544,5166-53-0,COMPOUND
545,83-67-0,COMPOUND
546,106-18-3,COMPOUND
547,164183,COMPOUND
548,932-16-1,COMPOUND
549,503-74-2,COMPOUND
550,13925-00-3,COMPOUND
551,127-09-3,COMPOUND
552,31502-14-4,COMPOUND
553,57-55-6,COMPOUND
554,124-19-6,COMPOUND
555,2363-89-5,COMPOUND
556,123-32-0,COMPOUND
557,97-96-1,COMPOUND
558,6028-61-1,COMPOUND
559,108-10-1,COMPOUND
560,3658-80-8,COMPOUND
561,104-45-0,COMPOUND
562,3600-24-6,COMPOUND
