id,name,type
0,alcoholic beverage,INGREDIENT_CATEGORY
1,animal product,INGREDIENT_CATEGORY
2,cereal/crop,INGREDIENT_CATEGORY
3,dairy,INGREDIENT_CATEGORY
4,fish/seafood,INGREDIENT_CATEGORY
5,flower,INGREDIENT_CATEGORY
6,fruit,INGREDIENT_CATEGORY
7,herb,INGREDIENT_CATEGORY
8,meat,INGREDIENT_CATEGORY
9,nut/seed/pulse,INGREDIENT_CATEGORY
10,plant,INGREDIENT_CATEGORY
11,plant derivative,INGREDIENT_CATEGORY
12,spice,INGREDIENT_CATEGORY
13,vegetable,INGREDIENT_CATEGORY
